text,sent
"

Я уже оставляла негативный отзыв в авгуте 2017 года о компании Marketing Sales Consulting Руководители Балыкина Юлия и  Хизский Иван.Но видно поспешила.В ноябре 2017 года позвонила Балыкина Юлия и предложила сделать сайт при условии если я удалю негативные отзывы о них. Я согласилась, отзыв удалила, в надежде что они мне все же сделают нормальный сайт. Все таки заплатила 120 тыс Ожидала, что программист окажется толковым и сайт сделает быстро и хорошо. Тем более, товар загружался не вручную, а с прай-листа.  Такая работа обычно делается за один день. Это знаю, потому что  заказывала подобную работу.Но для программиста Самарина Михаила задача оказалась очень сложной . Недели три он не мог понять как загрузить файл на сайт, задавал вопросы что и как.  В итоге сайт делался два месяца. Сделали с кучей недоделок.Товарные карточки пустые без текста. Денег на копирайтера не хватило!Но Балыкина считает сайт получился достойный. Мне пришлось сесть за написание текстов. Заплатила им 120 тыс, а работу делаю я.Ключевые слова залили в кейвордс. Этот мета-тег поисковики уже года четыре не учитывают, надо бы знать про это.  Янедкс метрику не подключили, но 1000 руб взяли.Обрисовала программисту все недочеты, которые надо исправить. Все было принято к сведению, но дальше этого дело не сдвинулось. Просто исчез со связи.Совершенно безграмотные специалисты работают в компании Marketing Sales Consulting , хотя за труд просят большие деньги.До этого, Хизский с Балыкиной вели курсы на тему ""Привлечение финансов"", но с 2017 года решили, что они вебмастера и могут сайты делать.У них нет ни одного законченого проекта, который они могли показать. Один сайт показывали, да и тот хозяин сейчас забросил, сайт стоит заблокированный.					 
				
",0
"

Согласен с отзывами на 100% !!  1nit.ru - ВОР И МОШЕННИК!!!!  Ничего не продает, берет деньги и ставит в черный список!! Школоте, видать мать денег на булочки, вот ета мразь и ворует. Тебя найдут и покарают!!! Otzivi 1nit.ru - moshennik!!!					 
				Подробнее о 1nit.ru  and create-soft.ru - Сайты мошенника!...
",0
"

!!!!РАЗВОД!!!! По телефону сообщают стоимость работы, но после ""диагностики"" объявляют стоимость в 6 раз дороже, как в моем случае! Приходится заплатить за платную диагностику и доставку!Развод короче.Не ведитесь и не пользуйтесь их услугами.Подробнее на Отзовик:https://otzovik.com/review_6129605.html					 
				
",0
"

Хочу рассказать, как я попал на ""развод"" со стороны компании GET-AUTO.Полтора года назад мною была приобретена франшиза для работы в своём регионе.Мобильное приложение позволяет (якобы позволяет) обслуживать свой автомобиль на мойке, сто, шиномонтаже. А я должен был получать деньги от владельцев сервиса за то, что к ним идут клиенты.Руководитель проекта Александр Булаткин. Разумеется, до начала оплаты проекта вешал лапшу на уши из красивых цифр и дохода от работы приложения. Но ни у меня, ни у других владельцев франшизы в регионах ничего не вышло.За полтора года не заработано ни единого рубля. Постоянно приложение менялось, обновлялось, всегда работало не корректно.Таким образом за полтора года ""сотрудничества"" с этой организацией, я поимел только проблемы: налог за ИП заплати, деньги в рекламу вложи. Деньги, разумеется, они возвращать не станут. И такая же ситуация во всех городах. За полтора года работы франшиза не принесла ни одного заработанного рубля мне. Будьте осторожны, не попадайтесь на подобные ""лохотроны"".И самое интересное, что свою франшизу они продают за 15 000 долларов! Люди вообще не стесняются. Франшиза GET-AUTO это покупка билета в один конец. И этот билет оказался неудачным. Именно так и ответил руководитель этой организации, когда я спросил у него - есть ли у меня возможность вернуть хотя бы часть потраченных денег, продав им франшизу обратно моего региона. В итоге он меня обвинил в вымогательстве и шантаже и пригрозил заявлением в полицию, когда я ему сказал, что буду вынужден написать в интернете всю правду про их обман. Вот так дурят.Итог. Потрачено: покупка франшизы, налоги за ИП, затраты на рекламу. Заработано: круглый ноль.Будьте осторожны!					 
				
",0
"

Якобы сервисные-центры этой конторы, которые отмечены на ""Яндекс-картах"" - фальшивка, никаких офисов там нет. Навязывают выезда курьера/специалиста/мас� �ера. Отдали в починку планшет, сломалось micro-usb гнездо. На сайте написано выезд, диагностика бесплатная. Приехал курьер и взял оплату за ремонт micro-usb гнезда 1500 руб. в замен дал расписку на бланке ООО Гарант. Через сутки перезвонил их мастер и сказал, что гнездо перепаять недостаточно, он провел диагностику и выявил у нас чудовищную поломку которая приведет к сгоранию всего планшета при этом запросил еще 8000 рублей за замену материнской платы. Новый такой планшет стоит 5500 рублей. Планшет вернули, 1500 не вернули, сказали, пишите письмо на электронную почту. Жулики. Номера добавляют в черные списки и почту игнорируют. Не тратьте свое время, деньги и нервы. Если Вам предлагают выезд курьера, советую насторожиться т. к. схема известная.					 
				
",0
"

Meizu PRO6, трещина на внешнем защитном стекле. Падение было на нижний правый угол, сам дисплей не пострадал - на фото хорошо видно. Нашел в интернете предложение от life-it в Нижнем Новгороде, по описанию с сайта все надежно быстро удобно и недорого. На сайте указана цена замены 730 руб, диагностика и выезд курьера - бесплатно. Позвонил в сервис - вежливый оператор все очень подробно рассказал, но вот цену назвал уже 2000 руб. Я согласился купившись на вежливого оператора. Телефон был в использовании у сестры, договор заключался с ней без моего присутствия, телефон забрал курьер набросав простую форму договора с ООО ""Адамант"", московская фирмешка, директор Михайлов Александр Сергеевич, уставной капитал 10 т.р ИНН 7704406000.Условия договора на фото. Дальше пошла схема развода. Через 2 дня звонков/сбрасываний согласования сроков ремонта сестре сообщают что по результатам диагностики которая вдруг стала стоить 2200 рублей выяснили что нужно менять дисплей, сумма итого будет 12800 рублей. Стоимость нового телефона на 13.01.2018 примерно 12-13 т.р. Телефонный разговор, на мой вопрос как так? Почему вдруг диагностика платная? Откуда такая цена? Получил ответ что было произведено отслоение стекла и обнаружили повреждение дисплея + начали говорить о том что ""кристалл стекла повредил дисплей""(записи разговоров все сохранил, кому интересно отправлю) и что дисплей теперь перестанет работать. Сразу понял что это развод - неоднократно менял стекла на телефонах в других сервисах, там как правило сразу говорят о рисках повреждения дисплея, если они есть, о стоимости работ и спрашивают согласен/не согласен описывая худший и лучший сценарий. От ремонта по телефону я отказался - в итоге через пол часа после разговора мне перезвонил другой сотрудник сервиса и в тоне угроз стал требовать оплаты 12800 рублей, предлагал ""скидку"" в 2000 рублей, я отказался. Сказал приеду сам в сервис и посмотрю на состояние телефона. В голове у меня нарисовалась картинка что при попытке отслоить защитное стекло от дисплея они просто его угробили, я знаю как это происходит: при подъеме целой части стекла в месте трещин может быть острый уголок, при недостаточном прогреве острый уголок упирается в дисплей и повреждает его.Визит в сервис, все снял на видео - отрывок по ссылке на ютуб. Маленькая комнатка с торца жилого дома, нет ни рекламы ни указателей. Девушка на приемке, вежливая, к ней нет претензий, по началу не хотела отдавать телефон в руки для осмотра(сначала заплатите, потом отдам) - уговорил ее мотивировав тем что хочу забрать сим карту, при осмотре телефона сразу увидел отсутствие хоть каких то следов вскрытия и диагностики: если бы стекло ""отслаивали"" скол в углу просто бы рассыпался, а он в том же виде что и перед сдачей телефона(1е фото); пыль по стыку стекло/корпус на месте; винты снизу с торца - отверстия забиты пылью так же как и до сдачи в ремонт.Мне дали договор на оказание услуг диагностики на сумму 2200 руб, я отказался оплачивать, т.к. никаких признаков заявленной на бумаге работы по отслоению стекла просто нет. Созвонился с сервисом, вежливо по пунктам разложил что я думаю про диагностику и отсутствию признаков расслоения и работы с телефоном, рассказал про роспотребнадзор и независимую экспертизу(опыт у меня есть) и что не надо обманывать людей.Закончилась история тем что я заплатил 1250 руб за диагностику, т.к. сестрой был подписан первичный договор при приемке телефона и эта сумма там указана на обороте мелким шрифтом, а это весомый аргумент против меня, если дело дойдет до суда. Дали на руки подобие акта выполненных работ(во вложении)Забрал телефон, надеюсь кому то поможет этот отзыв и подумает перед тем как обращяться в эту контору... Я к сожалению отзывы заранее не почитал - сплошной негатив и отзывы о разводе на деньги, разводе на ""бесплатной диагностике"". Цены на сайте не соответствуют действительности, цены при первом звонке не соответствуют ценам на сайте. Судиться не пойду - жалко времени и 1250 руб не та сумма за которую стоит попотеть, а в целом если бы речь шла о 12800 руб - довел бы дело до конца. Жалобу в роспотребнадзор все же напишу.					 
				Подробнее о LIFE-IT...
",0
"

Хочу рассказать Вам свою историю сотрудничества с Евгением Плотниковым, который на самом деле является ""выдающейся личностью"". А именно в одном своем лице он с легкостью сочетает должности директора, менеджера, программиста, продвиженца и даже оператора и монтажера. Ох как сюда напрашивается продолжение ""и жнец и чтец и на дуде игрец""... И было в жизни Евгения счастье, если бы не его алчность и не компетентность во всех сферах. А вот собственно и история: с Евгением мы начали сотрудничать по контексту, при этом ему было удобно, когда деньги на контекст я переводил на его счет, а он уже на счет рекламной компании. После не продолжительного сотрудничества он предложил мне полностью переделать сайт и даже снять видео ролик на него. И вот тут то все сверх способности у него и пропали, хотя нет, конечно не сразу, а только после внесения мною предоплаты за сайт 35 000 рублей + оплата за видео ролик 15 000 руб + оплата за контекст. С этого момента Евгений Плотников из Advertassist не берет трубку на мои звонки, не звонит сам и вообще делает вид, что ничего в его жизни не произошло. Итог: надеюсь моя история станет хорошим уроком всем, кто подумает сотрудничать с этим ""сверх человеком"". Его контакты 8 927 252 76 00, 8 966 789 24 72 и сайт http://advertassist.ru					 
				
",0
"

Нужно было отремонтировать планшет. Позвонили спросили цену на замену тачскрина со стеклом на асус зенпад10. Нам сказали 3500 с работой. Согласились, не прочитав отзывы в интернете. Приехал специалист, подписали ""договор"". Забрал планшет. По условиям договора, если отказываемся от ремонта, то диагностика стоит 1250. По условиям договора компьютерная диагностика 1 250, простая 550. Вечером позвонили сказали надо менять тачскрин со шлейфом и цена 10 000 руб. Несли какую то ерунду на тему, что на асус есть 3 вида модулей и цена от 3 500 до 10 000 руб. Видимо на лбу у нас было написано лохи. Потом цену снизили до 8 000 руб., потом до 6 000 руб. Мы отказались, нам сказали что должны заплатить за диагностику 1 250 р. и за курьера 450р. В акте выполненных работ указана поломка ""разбито стекло"". Без компьютерной диагностики это ""видимо"" было не понятно. Вскрывался ли планшет вообще, не известно. Телефон отдела контроля качества сбрасывается после слов автоответчика ""приготовьте номер договора и фамилию менеджера"". Заказала обратный звонок, никто так и не перезвонил. Позвонила сам. Долго не брали трубку, потом какая то запыхавшаяся дама, сказала что цена 3 300р. Я спросила почему нам сказали цену 10 000р., понесла какую то чушь про курс. При чём здесь курс и почему вдруг он вырос в 3 раза?!?!? Это где такая инфляция!? Никто ничего не знает, прайс листов нет ни на один из модулей для планшетов. Откуда цены берут не понятно. А нет, понятно, с потолка. Контора на сайте указано, что на вайнера (Гринвич). Но по факту их там нет. Сейчас они находится на белинского в каком то подвальном помещении со двора отеля куда фиг попадешь, т.к. никаких вывесок нет. Машину не припарковать. Дурдом. В акте вып.работ потом было указано поломка ""разбито стекло"". Без компьютерной диагностики это видимо было не определить ...Мошенники!!! Огромное желание накатать заявление в прокуратуру, т.к. это статья, т.к. забирают твою собственность и ты должен её выкупить. Конечно, мы сами виноваты, что не прочитали отзывы и понимаем, что человек человеку волк, но весьма не приятно когда тебя так на сухую разводят. Ребятам с конторы ""рога и копыта"", желаю здоровья! Жизнь бумеранг и всё возвращается с торицей!					 
				
",0
"

Я пишу этот отзыв для того, чтобы предостеречь людей, которые захотят иметь отношения с компанией Экспресс Рента , которая также позиционирует себя как Kreditlinie (немецкий международный портал по услугам интернет кредитования),этого не делали, поскольку от этой компании пострадало очень много людей. Я также пыталась воспользоваться услугами этой компании и в результате мы имеем следующее: ""сладкоголосая"" Екатерина Булгакова мило грузит людей на предмет открытия мифической кредитной линии до 2 млн. рублей,в результате чего вы вносите 35 000 рублей ( это обязательный платеж!) опять же за мифическую страховку и обслуживание. По факту подписывается договор ,который ни о чем не говорит и условия договора и кредита ссылаются на сайт компании ,информация на котором изменяется так, как им заблагорассудится. Забирая 35 000 рублей эти ""люди"" начинают грузить вас и кормить завтраками, утверждая "" ждите! завтра завтра... у вас карта не активна... сбой системы..и так одно второе третье десятое"" и так продолжается месяцами пока у вас не сдадут нервы.В результате нет ни кредита, ни возврата 35 000 рублей. Поражает другое - в центре Москвы на Ильинке ,рядом с Администрацией президента сидит одна из крупных мошеннических организаций,может это от того, что народ бездействует и не ставит в известность официальные органы. Убедительная просьба. все кто пострадали от действий данной компании - отзовитесь. пишите на почту и опишите вашу ситуацию an.sto68@mail.ru. Убедительная просьба модераторов не удалять отзыв. Понимаю среди многочисленных купленных положительных отзывов реальные отзывы о компании теряются.Но реальные как раз таки -отрицательные.					 
				
",0
"

Вызвали обжать провод для подключения к роутеру, мало того, что провода перепутали, не отрезали лишнюю оплетку, зачем-то полезли настраивать интернет, проводились около трёх часов, пришлось отдать 500 рублей за работу, только бы ушли					 
				
",0
"

В начале сентября месяца 2017 года, я обратился в компанию FAST HELPPC ИП Апостолиди К.М. за ремонтом принтера HP DISKJET Ink Advantage 5525. На вызов выехал мастер Дима и забрал компьютер в ремонт.14.09.17 компьютер был возвращён. Деньги взяли в сумме 4710р., дороже,чем за новый компьютер, но 10.10.17, когда гарантийный срок согласно договора ещё не кончился, печатающая головка чёрного картриджа, как и до ремонта, перестала печатать, хотя в договоре указано, что данная печатающая головка поставлена новая. На мой звонок в компанию ответил мастер Дима, пообещал, что приедет. Прошло 2 недели, но никто не появился. Пришлось принтер ремонтировать в другой компании. Пишу это, потому что хочу предупредить:""ЛЮДИ, ОСТЕРЕГАЙТЕСЬ ДАННЫХ МОШЕЙНИКОВ""!!!!!					 
				
",0
